word,score
abe,-1
abort,-0.333333333333333
absolut,0.333333333333333
abstrakt,0.666666666666667
absurd,-2.33333333333333
accelerere,1.33333333333333
accept,1.33333333333333
acceptabel,1.66666666666667
acceptere,1.66666666666667
action,0.666666666666667
adel,1.33333333333333
adgang,0.333333333333333
administration,-0.333333333333333
administrativ,-0.333333333333333
administrere,0.333333333333333
adoptere,0.666666666666667
adskille,-0.333333333333333
adskillelse,-1.33333333333333
adskillig,0.333333333333333
advare,-2.66666666666667
advarsel,-2
advokat,0.333333333333333
ae,0.666666666666667
afbryde,-1.66666666666667
afbrydelse,-1
afbrænding,-0.333333333333333
afbud,-1.33333333333333
afdeling,0.333333333333333
afdelingsleder,0.666666666666667
afdragsfri,0.666666666666667
afdække,0.333333333333333
afdæmpet,-0.333333333333333
afdød,-2.66666666666667
affald,-1.66666666666667
affinde,-0.666666666666667
affyre,-0.666666666666667
affære,-1.66666666666667
afføde,0.333333333333333
afgang,-0.333333333333333
afgift,-1.66666666666667
afgive,-1
afgrund,-2
afgrænse,-0.666666666666667
afgrøde,0.666666666666667
afgøre,0.666666666666667
afgørelse,0.333333333333333
afgørende,0.666666666666667
afgå,-0.333333333333333
afhandling,0.333333333333333
afhjælpe,1.33333333333333
afhænge,-0.333333333333333
afhængig,-1.33333333333333
afhængighed,-2
afhøre,-1.33333333333333
afhøring,-0.666666666666667
afkald,-1.33333333333333
afkast,1.33333333333333
afklare,0.333333333333333
afklaret,0.666666666666667
afklaring,1.66666666666667
afkræfte,-0.666666666666667
afkræve,-0.666666666666667
aflevere,0.333333333333333
aflive,-2.66666666666667
aflyse,-2
aflysning,-1.66666666666667
aflæse,0.666666666666667
afløse,-0.333333333333333
afløser,0.333333333333333
afmagt,-3
afmatning,-0.333333333333333
afrejse,-0.333333333333333
afrikansk,-0.333333333333333
afsige,-0.666666666666667
afsindig,-1
afskaffe,-0.666666666666667
afskaffelse,-1.66666666666667
afsked,-1
afskedige,-2.33333333333333
afskedigelse,-2.33333333333333
afskrive,-0.666666666666667
afskrække,-2
afskære,-0.666666666666667
afslag,-2.33333333333333
afslappet,0.666666666666667
afslutning,-0.333333333333333
afslutte,-0.666666666666667
afsløre,-0.333333333333333
afsløring,0.333333333333333
afslå,-2
afsone,-1
afspærre,-1.33333333333333
afstemme,-0.333333333333333
afstemning,0.333333333333333
afstå,-0.666666666666667
afsætte,-0.666666666666667
aftage,-0.666666666666667
aftale,0.666666666666667
afvige,-1.66666666666667
afvikle,-1
afvikling,-0.333333333333333
afvise,-2.33333333333333
afvisning,-2.66666666666667
afværge,1.33333333333333
aggression,-2.66666666666667
aggressiv,-3.33333333333333
aids,-4.33333333333333
akademiker,0.333333333333333
akademisk,0.666666666666667
akkompagnere,0.666666666666667
akkurat,0.333333333333333
aktie,0.333333333333333
aktindsigt,-0.333333333333333
aktiv,1.5
aktivere,1
aktivering,-0.666666666666667
aktivist,0.333333333333333
aktivitet,0.333333333333333
aktuel,0.333333333333333
akustisk,0.666666666666667
akut,-1.33333333333333
alarm,-1.66666666666667
alarmere,-3
alder,-0.333333333333333
alderdom,-0.666666666666667
aldersgrænse,-0.333333333333333
aldrende,-0.333333333333333
aldrig,-2.33333333333333
alene,-1.33333333333333
alfa,1
alkohol,-1.33333333333333
alkoholiker,-3.66666666666667
allerbedst,2
allerede,-0.333333333333333
allerførst,0.333333333333333
allergi,-1.33333333333333
allerhøjest,0.333333333333333
allermest,0.666666666666667
